player_name,draft_year,pick,round,college,age,best_ppr,best_ppg,best_season,season_rank,hit24,hit12,RAS,rec_yards,receptions,team_pass_att,cfbd_name,rec_per_pass_att,age_wt,production_raw,production_score
Dexter Williams,2019,194,6,Notre Dame,22.0,1.1,0.0647058823529411,2019.0,126.0,0,0,8.13,133.0,16.0,418.0,dexter williams,0.3181818181818182,1.0,0.3181818181818182,17.549783549783548
Travis Homer,2019,204,6,Miami (FL),21.0,55.8,3.282352941176471,2021.0,75.0,0,0,8.34,186.0,19.0,355.0,travis homer,0.523943661971831,1.1,0.5763380281690141,33.3341918175721
Rodney Anderson,2019,211,6,Oklahoma,22.0,0.0,0.0,,,0,0,,281.0,17.0,433.0,rodney anderson,0.648960739030023,1.0,0.648960739030023,37.77455185307379
Mike Weber,2019,218,7,Ohio St.,22.0,0.0,0.0,,,0,0,7.01,112.0,21.0,559.0,mike weber,0.2003577817531306,1.0,0.2003577817531306,10.345685322429508
Cullen Gillaspia,2019,220,7,Texas A&M,24.0,0.0,0.0,,,0,0,,52.0,5.0,439.0,cullen gillaspia,0.11845102505694761,0.8,0.0947608200455581,3.889185378023647
Kerrith Whyte Jr,2019,222,7,Florida Atlantic,22.0,0.0,0.0,,,0,0,,160.0,10.0,364.0,kerrith whyte jr.,0.43956043956043955,1.0,0.43956043956043955,24.97121925693354
Chandler Cox,2019,233,7,Auburn,23.0,0.0,0.0,,,0,0,,81.0,10.0,382.0,chandler cox,0.21204188481675393,0.9,0.19083769633507855,9.763600099725753
Myles Gaskin,2019,234,7,Washington,22.0,173.6,10.211764705882352,2021.0,26.0,0,0,5.93,77.0,21.0,405.0,myles gaskin,0.19012345679012346,1.0,0.19012345679012346,9.719929453262786
Clyde Edwards-Helaire,2020,32,1,LSU,21.0,194.4,11.43529411764706,2020.0,20.0,1,0,5.41,453.0,55.0,567.0,clyde edwards-helaire,0.798941798941799,1.1,0.878835978835979,51.82978080120938
D'Andre Swift,2020,35,2,Georgia,21.0,214.5,12.617647058823527,2024.0,16.0,1,0,7.55,216.0,24.0,415.0,d'andre swift,0.5204819277108433,1.1,0.5725301204819278,33.101365461847394
Jonathan Taylor,2020,41,2,Wisconsin,21.0,373.1,21.947058823529414,2021.0,1.0,1,1,9.53,252.0,26.0,351.0,jonathan taylor,0.717948717948718,1.1,0.7897435897435898,46.38241758241758
Cam Akers,2020,52,2,Florida St.,21.0,146.0,8.588235294117647,2020.0,34.0,0,0,8.79,225.0,30.0,432.0,cam akers,0.5208333333333334,1.1,0.5729166666666667,33.12500000000001
J.K. Dobbins,2020,55,2,Ohio St.,21.0,194.4,11.43529411764706,2024.0,22.0,1,0,,247.0,23.0,406.0,j.k. dobbins,0.6083743842364532,1.1,0.6692118226600986,39.01276096645555
AJ Dillon,2020,62,2,Boston Col.,22.0,117.6,6.91764705882353,2023.0,43.0,0,0,,195.0,13.0,305.0,aj dillon,0.639344262295082,1.0,0.639344262295082,37.186572989851676
Antonio Gibson,2020,66,3,Memphis,22.0,229.1,13.476470588235296,2021.0,13.0,1,0,,735.0,38.0,441.0,antonio gibson,1.6666666666666667,1.0,1.6666666666666667,100.0
Zack Moss,2020,86,3,Utah,22.0,169.6,9.976470588235294,2023.0,33.0,0,0,2.8,388.0,28.0,321.0,zack moss,1.2087227414330217,1.0,1.2087227414330217,71.99999999999999
Joshua Kelley,2020,112,4,UCLA,22.0,81.2,4.776470588235294,2020.0,60.0,0,0,7.59,71.0,11.0,426.0,joshua kelley,0.16666666666666666,1.0,0.16666666666666666,8.285714285714285
La'Mical Perine,2020,120,4,Florida,22.0,52.5,3.088235294117647,2020.0,77.0,0,0,5.25,262.0,40.0,467.0,lamical perine,0.5610278372591007,1.0,0.5610278372591007,32.39808300193739
Anthony McFarland Jr.,2020,124,4,Maryland,22.0,0.0,0.0,,,0,0,,126.0,17.0,342.0,anthony mcfarland,0.3684210526315789,1.0,0.3684210526315789,20.621553884711776
DeeJay Dallas,2020,144,4,Miami (FL),21.0,60.1,3.5352941176470587,2021.0,71.0,0,0,,140.0,14.0,437.0,deejay dallas,0.32036613272311215,1.1,0.35240274599542337,19.642148850386835
Jason Huntley,2020,172,5,New Mexico St.,22.0,5.1000000000000005,0.3,2021.0,128.0,0,0,8.08,192.0,40.0,446.0,jason huntley,0.4304932735426009,1.0,0.4304932735426009,24.416826820414265
Eno Benjamin,2020,222,7,Arizona St.,21.0,89.60000000000001,5.270588235294119,2022.0,52.0,0,0,5.76,347.0,42.0,383.0,eno benjamin,0.9060052219321149,1.1,0.9966057441253264,59.03056073604377
Raymond Calais,2020,245,7,Louisiana,22.0,0.0,0.0,,,0,0,7.6,67.0,10.0,412.0,raymond calais,0.16262135922330098,1.0,0.16262135922330098,8.038372630605641
Malcolm Perry,2020,246,7,Navy,23.0,24.7,1.4529411764705882,2020.0,97.0,0,0,,167.0,9.0,129.0,malcolm perry,1.2945736434108528,0.9,1.1651162790697676,69.33377630121817
Najee Harris,2021,24,1,Alabama,23.0,303.5,17.852941176470587,2021.0,4.0,1,1,,425.0,43.0,425.0,najee harris,1.0,0.9,0.9,53.12380952380952
Travis Etienne,2021,25,1,Clemson,22.0,282.4,16.61176470588235,2023.0,5.0,1,1,9.12,588.0,48.0,490.0,travis etienne,1.2,1.0,1.2,71.46666666666665
Javonte Williams,2021,35,2,North Carolina,21.0,204.9,12.052941176470588,2021.0,18.0,1,0,8.79,305.0,25.0,357.0,javonte williams,0.8543417366946778,1.1,0.9397759103641457,55.55582232893157
Trey Sermon,2021,88,3,Ohio St.,22.0,53.8,3.164705882352941,2024.0,66.0,0,0,9.67,95.0,12.0,225.0,trey sermon,0.4222222222222222,1.0,0.4222222222222222,23.91111111111111
Michael Carter,2021,107,4,North Carolina,22.0,154.4,9.08235294117647,2021.0,30.0,0,0,6.2,267.0,25.0,357.0,michael carter,0.7478991596638656,1.0,0.7478991596638656,43.82392957182873
Kene Nwangwu,2021,119,4,Iowa St.,23.0,11.0,0.6470588235294118,2021.0,116.0,0,0,9.88,22.0,3.0,372.0,kene nwangwu,0.05913978494623656,0.9,0.05322580645161291,1.3496159754224273
Rhamondre Stevenson,2021,120,4,Oklahoma,23.0,249.1,14.65294117647059,2022.0,10.0,1,1,3.98,211.0,18.0,362.0,rhamondre stevenson,0.5828729281767956,0.9,0.5245856353591161,30.169902657195475
Chuba Hubbard,2021,126,4,Oklahoma St.,22.0,241.6,14.211764705882352,2024.0,16.0,1,0,8.43,52.0,8.0,340.0,chuba hubbard,0.15294117647058825,1.0,0.15294117647058825,7.446498599439775
Kenneth Gainwell,2021,150,5,Memphis,22.0,139.9,8.229411764705883,2021.0,35.0,0,0,5.66,610.0,51.0,441.0,kenneth gainwell,1.383219954648526,1.0,1.383219954648526,82.66925817946226
Elijah Mitchell,2021,194,6,Louisiana,23.0,200.6,11.8,2021.0,20.0,1,0,9.5,153.0,16.0,308.0,elijah mitchell,0.4967532467532468,0.9,0.44707792207792213,25.430859616573905
Gary Brightwell,2021,196,6,Arizona,22.0,30.0,1.7647058823529411,2022.0,89.0,0,0,4.57,58.0,13.0,188.0,gary brightwell,0.30851063829787234,1.0,0.30851063829787234,16.958459979736578
Larry Rountree,2021,198,6,Missouri,22.0,15.6,0.9176470588235296,2021.0,112.0,0,0,2.01,100.0,15.0,363.0,larry rountree iii,0.27548209366391185,1.0,0.27548209366391185,14.939000393545848
Chris Evans,2021,202,6,Michigan,23.0,52.400000000000006,3.0823529411764707,2021.0,77.0,0,0,9.84,87.0,9.0,213.0,chris evans,0.4084507042253521,0.9,0.3676056338028169,20.571696847753184
Demetric Felton,2021,211,6,UCLA,23.0,50.5,2.9705882352941178,2021.0,81.0,0,0,,159.0,22.0,200.0,demetric felton,0.795,0.9,0.7155,41.84295238095238
Khalil Herbert,2021,217,6,Virginia Tech,23.0,117.8,6.929411764705883,2022.0,42.0,0,0,6.14,179.0,10.0,253.0,khalil herbert,0.7075098814229249,0.9,0.6367588932806324,37.02849614153962
Jake Funk,2021,233,7,Maryland,23.0,3.2,0.188235294117647,2023.0,120.0,0,0,9.76,68.0,10.0,157.0,jake funk,0.43312101910828027,0.9,0.38980891719745225,21.929269032453746
Gerrid Doaks,2021,244,7,Cincinnati,23.0,0.0,0.0,,,0,0,8.3,202.0,14.0,295.0,gerrid doaks,0.6847457627118644,0.9,0.6162711864406779,35.77581920903955
Kylin Hill,2021,256,7,Mississippi St.,23.0,3.9,0.2294117647058823,2021.0,132.0,0,0,7.28,237.0,23.0,557.0,kylin hill,0.4254937163375224,0.9,0.3829443447037702,21.509549457125757
Jermar Jefferson,2021,257,7,Oregon St.,21.0,25.700000000000003,1.5117647058823531,2021.0,101.0,0,0,2.22,67.0,9.0,233.0,jermar jefferson,0.2875536480686695,1.1,0.3163090128755365,17.43527488248518
Breece Hall,2022,36,2,Iowa St.,21.0,290.5,17.08823529411765,2023.0,4.0,1,1,9.96,302.0,36.0,446.0,breece hall,0.6771300448430493,1.1,0.7448430493273542,43.63707025411061
Kenneth Walker III,2022,41,2,Michigan St.,21.0,199.4,11.729411764705883,2023.0,22.0,1,0,9.24,89.0,13.0,400.0,kenneth walker iii,0.2225,1.1,0.24475000000000002,13.05995238095238
James Cook,2022,63,2,Georgia,22.0,324.3,19.076470588235296,2024.0,5.0,1,1,8.75,284.0,27.0,407.0,james cook,0.6977886977886978,1.0,0.6977886977886978,40.76003276003276
Rachaad White,2022,91,3,Arizona St.,23.0,295.5,17.38235294117647,2023.0,2.0,1,1,9.87,456.0,43.0,313.0,rachaad white,1.4568690095846646,0.9,1.311182108626198,78.26465845123992
Tyrion Davis-Price,2022,93,3,LSU,21.0,9.9,0.5823529411764706,2022.0,115.0,0,0,6.65,64.0,10.0,443.0,tyrion davis-price,0.14446952595936793,1.1,0.15891647855530475,7.811845641191013
Brian Robinson Jr.,2022,98,3,Alabama,23.0,0.0,0.0,,,0,0,6.58,296.0,35.0,571.0,brian robinson jr.,0.5183887915936952,0.9,0.4665499124343257,26.621432741222577
Dameon Pierce,2022,107,4,Florida,22.0,166.4,9.788235294117648,2022.0,29.0,0,0,7.09,216.0,19.0,416.0,dameon pierce,0.5192307692307693,1.0,0.5192307692307693,29.842490842490843
Zamir White,2022,122,4,Georgia,22.0,73.9,4.347058823529412,2023.0,57.0,0,0,9.81,75.0,9.0,407.0,zamir white,0.18427518427518427,1.0,0.18427518427518427,9.362349362349361
Isaiah Spiller,2022,123,4,Texas A&M,21.0,19.0,1.1176470588235294,2023.0,92.0,0,0,5.66,189.0,25.0,370.0,isaiah spiller,0.5108108108108108,1.1,0.5618918918918919,32.45091377091377
Hassan Haskins,2022,131,4,Michigan,22.0,33.3,1.9588235294117649,2024.0,80.0,0,0,,131.0,18.0,395.0,hassan haskins,0.33164556962025316,1.0,0.33164556962025316,18.372995780590713
Tyler Allgeier,2022,151,5,BYU,22.0,159.4,9.376470588235296,2022.0,32.0,0,0,7.4,199.0,28.0,389.0,tyler allgeier,0.5115681233933161,1.0,0.5115681233933161,29.37397478271514
Snoop Conner,2022,154,5,Mississippi,22.0,10.2,0.6,2022.0,113.0,0,0,7.03,82.0,14.0,429.0,snoop conner,0.19114219114219114,1.0,0.19114219114219114,9.782217782217781
Jerome Ford,2022,156,5,Cincinnati,22.0,220.4,12.96470588235294,2023.0,17.0,1,0,6.91,220.0,21.0,400.0,jerome ford,0.55,1.0,0.55,31.723809523809525
Kyren Williams,2022,164,5,Notre Dame,22.0,299.8,17.63529411764706,2024.0,8.0,1,1,3.46,359.0,42.0,450.0,kyren williams,0.7977777777777778,1.0,0.7977777777777778,46.873650793650796
Ty Chandler,2022,169,5,North Carolina,24.0,101.0,5.941176470588236,2023.0,48.0,0,0,6.35,216.0,15.0,382.0,ty chandler,0.5654450261780105,0.8,0.45235602094240845,25.75357766143107
Kevin Harris,2022,183,6,South Carolina,21.0,21.3,1.2529411764705882,2023.0,88.0,0,0,7.13,89.0,11.0,360.0,kevin harris,0.24722222222222223,1.1,0.2719444444444445,14.722698412698415
Tyler Badie,2022,196,6,Missouri,22.0,10.2,0.6,2024.0,104.0,0,0,6.38,330.0,54.0,455.0,tyler badie,0.7252747252747253,1.0,0.7252747252747253,42.44060701203558
Keaontay Ingram,2022,201,6,USC,22.0,18.1,1.0647058823529412,2022.0,101.0,0,0,8.67,156.0,22.0,500.0,keaontay ingram,0.312,1.0,0.312,17.17180952380952
Trestan Ebner,2022,203,6,Baylor,23.0,8.200000000000001,0.4823529411764706,2022.0,121.0,0,0,4.77,284.0,28.0,365.0,trestan ebner,0.7780821917808219,0.9,0.7002739726027397,40.91198956294846
Brittain Brown,2022,250,7,UCLA,24.0,0.0,0.0,,,0,0,4.75,129.0,18.0,335.0,brittain brown,0.3850746268656716,0.8,0.3080597014925373,16.930888415067518
Bijan Robinson,2023,8,1,Texas,21.0,341.7,20.1,2024.0,4.0,1,1,9.85,314.0,19.0,405.0,bijan robinson,0.7753086419753087,1.1,0.8528395061728397,50.24028218694886
Jahmyr Gibbs,2023,12,1,Alabama,21.0,390.4,22.96470588235294,2024.0,2.0,1,1,8.06,444.0,44.0,438.0,jahmyr gibbs,1.0136986301369864,1.1,1.1150684931506851,66.27371167645141
Zach Charbonnet,2023,52,2,UCLA,22.0,183.7,10.805882352941175,2024.0,26.0,0,0,8.71,321.0,37.0,419.0,zach charbonnet,0.766109785202864,1.0,0.766109785202864,44.93737924764178
Kendre Miller,2023,71,3,TCU,21.0,43.3,2.547058823529412,2023.0,71.0,0,0,,116.0,16.0,454.0,kendre miller,0.2555066079295154,1.1,0.28105726872246695,15.279882525697502
Tyjae Spears,2023,81,3,Tulane,22.0,153.8,9.047058823529412,2023.0,35.0,0,0,7.51,256.0,22.0,379.0,tyjae spears,0.6754617414248021,1.0,0.6754617414248021,39.394898856640275
De'Von Achane,2023,84,3,Texas A&M,21.0,196.7,11.570588235294116,2023.0,24.0,1,0,,196.0,36.0,391.0,devon achane,0.5012787723785166,1.1,0.5514066496163683,31.80981610035318
Tank Bigsby,2023,88,3,Auburn,22.0,129.0,7.588235294117647,2024.0,38.0,0,0,8.32,180.0,30.0,308.0,tank bigsby,0.5844155844155844,1.0,0.5844155844155844,33.828076685219536
Roschon Johnson,2023,115,4,Texas,22.0,102.1,6.005882352941176,2023.0,47.0,0,0,8.67,128.0,14.0,405.0,roschon johnson,0.3160493827160494,1.0,0.3160493827160494,17.419400352733685
Israel Abanikanda,2023,143,5,Pittsburgh,20.0,18.3,1.076470588235294,2023.0,94.0,0,0,9.63,146.0,12.0,393.0,israel abanikanda,0.37150127226463103,1.2,0.44580152671755724,25.352817157397308
Chase Brown,2023,163,5,Illinois,23.0,255.0,15.0,2024.0,12.0,1,1,9.81,240.0,27.0,393.0,chase brown,0.6106870229007634,0.9,0.549618320610687,31.700472555434388
Eric Gray,2023,172,5,Oklahoma,23.0,19.3,1.1352941176470588,2024.0,97.0,0,0,6.56,229.0,33.0,407.0,eric gray,0.5626535626535627,0.9,0.5063882063882065,29.057259857259858
Evan Hull,2023,176,5,Northwestern,22.0,1.7000000000000002,0.1,2023.0,129.0,0,0,9.33,546.0,55.0,417.0,evan hull,1.3093525179856116,1.0,1.3093525179856116,78.15279205207263
Chris Rodriguez,2023,193,6,Kentucky,22.0,31.5,1.8529411764705883,2024.0,83.0,0,0,,41.0,5.0,349.0,chris rodriguez jr.,0.1174785100286533,1.0,0.1174785100286533,5.278209851275753
Deuce Vaughn,2023,212,6,Kansas St.,21.0,15.0,0.8823529411764706,2023.0,98.0,0,0,4.32,378.0,42.0,388.0,deuce vaughn,0.9742268041237113,1.1,1.0716494845360824,63.61894943544427
Zach Evans,2023,215,6,Mississippi,22.0,1.9,0.1117647058823529,2023.0,128.0,0,0,8.75,119.0,12.0,386.0,zach evans,0.3082901554404145,1.0,0.3082901554404145,16.94497902788058
DeWayne McBride,2023,222,7,Ala-Birmingham,22.0,0.0,0.0,,,0,0,,10.0,2.0,321.0,dewayne mcbride,0.03115264797507788,1.0,0.03115264797507788,0.0
Lew Nichols,2023,235,7,Central Michigan,22.0,0.0,0.0,,,0,0,,128.0,21.0,389.0,lew nichols,0.32904884318766064,1.0,0.32904884318766064,18.21422450728363
Kenny McIntosh,2023,237,7,Georgia,23.0,22.4,1.3176470588235294,2024.0,95.0,0,0,4.08,504.0,43.0,492.0,kenny mcintosh,1.024390243902439,0.9,0.9219512195121952,54.46596980255517
Jonathon Brooks,2024,46,2,Texas,21.0,7.500000000000001,0.4411764705882353,2024.0,108.0,0,0,,286.0,25.0,475.0,jonathon brooks,0.6021052631578947,1.1,0.6623157894736842,38.591117794486216
Trey Benson,2024,66,3,Florida St.,22.0,47.0,2.764705882352941,2024.0,69.0,0,0,9.76,227.0,20.0,433.0,trey benson,0.5242494226327945,1.0,0.5242494226327945,30.149345650500386
Blake Corum,2024,83,3,Michigan,23.0,33.5,1.9705882352941173,2024.0,79.0,0,0,8.29,117.0,16.0,361.0,blake corum,0.32409972299168976,0.9,0.2916897506925208,15.929982851866509
MarShawn Lloyd,2024,88,3,USC,23.0,2.8,0.1647058823529411,2024.0,121.0,0,0,8.62,232.0,13.0,461.0,marshawn lloyd,0.5032537960954447,0.9,0.45292841648590026,25.788575560376
Jaylen Wright,2024,120,4,Tennessee,21.0,26.700000000000003,1.5705882352941178,2024.0,92.0,0,0,9.81,141.0,22.0,411.0,jaylen wright,0.34306569343065696,1.1,0.3773722627737227,21.16885644768857
Will Shipley,2024,127,4,Clemson,22.0,29.4,1.7294117647058822,2024.0,86.0,0,0,9.57,244.0,31.0,474.0,will shipley,0.5147679324894515,1.0,0.5147679324894515,29.569620253164558
Isaac Guerendo,2024,129,4,Louisville,24.0,96.2,5.658823529411765,2024.0,50.0,0,0,9.9,234.0,22.0,408.0,isaac guerendo,0.5735294117647058,0.8,0.4588235294117647,26.149019607843133
Braelon Allen,2024,134,4,Wisconsin,20.0,85.2,5.011764705882353,2024.0,51.0,0,0,,131.0,28.0,469.0,braelon allen,0.279317697228145,1.2,0.335181236673774,18.589176566148847
Audric Estime,2024,147,5,Notre Dame,21.0,48.7,2.864705882352941,2024.0,67.0,0,0,6.57,142.0,17.0,351.0,audric estime,0.4045584045584046,1.1,0.4450142450142451,25.304680504680512
Rasheen Ali,2024,165,5,Marshall,23.0,3.1,0.1823529411764706,2024.0,119.0,0,0,,213.0,28.0,425.0,rasheen ali,0.5011764705882353,0.9,0.4510588235294118,25.674263305322132
Tyrone Tracy Jr.,2024,166,5,Purdue,24.0,0.0,0.0,,,0,0,9.78,132.0,19.0,392.0,tyrone tracy jr.,0.336734693877551,0.8,0.2693877551020408,14.566375121477163
Keilan Robinson,2024,167,5,Texas,24.0,0.0,0.0,,,0,0,7.32,56.0,8.0,475.0,keilan robinson,0.11789473684210526,0.8,0.09431578947368421,3.8619749373433585
Kimani Vidal,2024,181,6,Troy,23.0,32.7,1.9235294117647064,2024.0,81.0,0,0,8.88,201.0,18.0,456.0,kimani vidal,0.4407894736842105,0.9,0.39671052631578946,22.351253132832078
Jase McClellan,2024,186,6,Alabama,22.0,3.2,0.188235294117647,2024.0,118.0,0,0,,137.0,15.0,325.0,jase mcclellan,0.42153846153846153,1.0,0.42153846153846153,23.86930402930403
Jawhar Jordan,2024,205,6,Louisville,25.0,0.0,0.0,,,0,0,4.6,246.0,21.0,408.0,jawhar jordan,0.6029411764705882,0.8,0.4823529411764706,27.587675070028013
